raw_offset,rva,slot,budget,src_len,target_len,fits,src,target,context,note
0x43F070,0x440470,160,159,159,124,True,"Voice: If you select No Stops, sound will continue to play even if you advance the text during voice playback.(It stops if there is sound on the next message.)","Avec Sans arret, la voix continue si vous avancez le texte pendant sa lecture. Elle s'arrete si le message suivant a un son.","Basic tooltip","LOOPERS has no space before parenthesis, budget 159"
0x43F110,0x440510,112,111,99,64,True,"Initial cursor position: Sets the initial position of the cursor when a Yes/No choice is available.","Definit la position initiale du curseur lors d'un choix Oui/Non.","Basic tooltip","LOOPERS uses lowercase cursor, budget 111"
0x43F370,0x440770,88,87,87,48,True,"Controller Rumble Function: Plug in a controller to use the controller Rumble function.","Branchez une manette pour utiliser la vibration.","Basic tooltip","budget 87"
0x43F3C8,0x4407C8,12,11,8,6,True,"Language","Langue","Text1/Language","budget 11"
0x43F45C,0x44085C,12,11,6,6,True,"Mincho","Mincho","Text1/Font value","font family name, keep"
0x43F478,0x440878,8,7,6,7,True,"Modern","Moderne","Text1/Font value","budget 7 tight"
0x43F488,0x440888,8,7,4,6,True,"Font","Police","Text1/Font","budget 7"
0x43F4D8,0x4408D8,8,7,5,4,True,"Green","Vert","Text1/Color value","budget 7"
0x43F530,0x440930,24,23,18,13,True,"Window Frame Color","Couleur cadre","Text1/Window frame color","LOOPERS-specific option, budget 23"
0x43F55C,0x44095C,12,11,5,6,True,"Solid","Opaque","Text1/Window transparency value","budget 11"
0x43F584,0x440984,12,11,5,6,True,"Clear","Transp","Text1/Window transparency value","budget 11"
0x43F5A0,0x4409A0,24,23,19,15,True,"Window Transparency","Transp. fenetre","Text1/Window transparency","budget 23"
0x43F5E0,0x4409E0,8,7,6,5,True,"Enable","Actif","Text1/Read text value","budget 7"
0x43F600,0x440A00,24,23,20,13,True,"Previously Read Text","Texte deja lu","Text1/Read target","budget 23"
0x43F638,0x440A38,12,11,8,7,True,"Color of","Couleur","Text1/Color label","budget 11"
0x43F644,0x440A44,8,7,6,5,True,"Yellow","Jaune","Text1/Color value","budget 7"
0x43F658,0x440A58,8,7,4,4,True,"Blue","Bleu","Text1/Color value","budget 7"
0x43F670,0x440A70,8,7,6,6,True,"Purple","Violet","Text1/Color value","budget 7"
0x43F680,0x440A80,16,15,15,14,True,"Read Text Color","Coul. texte lu","Text1/Read color","shortened for LOOPERS budget 15"
0x43F850,0x440C50,144,143,141,95,True,"Wait Time Per Character: In Auto Mode, this sets the wait time until the next message is displayed based on the number of characters in text.","En mode auto, definit le delai avant le message suivant selon le nombre de caracteres du texte.","Text2 tooltip","budget 143"
0x43F8E0,0x440CE0,96,95,85,47,True,"Base Wait Time: You can set a Base Wait Time to add to
❝Wait Time Per Character❞.","Ajoute un delai fixe a l'attente par caractere.","Text2 tooltip","budget 95"
0x43FA30,0x440E30,8,7,4,4,True,"Slow","Lent","Text2/Speed value","budget 7"
0x43FA38,0x440E38,8,7,4,6,True,"Fast","Rapide","Text2/Speed value","budget 7"
0x43FA70,0x440E70,16,15,10,13,True,"Text Speed","Vitesse texte","Text2/Speed","budget 15"
0x43FA80,0x440E80,16,15,10,8,True,"0 sec/char","0 s/car.","Text2/Speed value","budget 15"
0x43FAD0,0x440ED0,16,15,12,10,True,"0.1 sec/char","0.1 s/car.","Text2/Speed value","budget 15"
0x43FAF0,0x440EF0,24,23,23,21,True,"Wait Time Per Character","Attente par caractere","Text2/Wait","budget 23"
0x43FB08,0x440F08,8,7,5,3,True,"0 sec","0 s","Text2/Wait value","budget 7"
0x43FB18,0x440F18,8,7,5,3,True,"1 sec","1 s","Text2/Wait value","budget 7"
0x43FB28,0x440F28,8,7,5,3,True,"2 sec","2 s","Text2/Wait value","budget 7"
0x43FB38,0x440F38,8,7,5,3,True,"3 sec","3 s","Text2/Wait value","budget 7"
0x43FB48,0x440F48,16,15,14,12,True,"Base Wait Time","Attente base","Text2/Base","budget 15"
0x43FBB0,0x440FB0,16,15,13,13,True,"Master Volume","Volume global","Sound/Master","budget 15"
0x43FC00,0x441000,16,15,13,12,True,"System Sounds","Sons systeme","Sound/System","budget 15"
0x43FC40,0x441040,16,15,13,8,True,"While Pressed","Maintenu","Keyboard/mode","budget 15"
0x43FC98,0x441098,16,15,10,12,True,"Start/Stop","Marche/Arret","Keyboard/mode","budget 15"
0x43FCA8,0x4410A8,16,15,8,8,True,"C (Skip)","C (Saut)","Keyboard/key label","budget 15"
0x43FD08,0x441108,16,15,10,10,True,"Z (Rewind)","Z (Retour)","Keyboard/key label","budget 15"
0x43FD18,0x441118,16,15,11,11,True,"  Disable  ","  Inactif  ","Keyboard/value","retain spaces, budget 15"
0x43FD70,0x441170,12,11,10,10,True,"Quick Save","Sauv. rap.","Keyboard/key label","budget 11"
0x43FDB8,0x4411B8,16,15,10,13,True,"Quick Load","Charg. rapide","Keyboard/key label","budget 15"
0x43FDC8,0x4411C8,16,15,15,14,True,"Switch Language","Changer langue","Keyboard/key label","budget 15"
0x43FE30,0x441230,16,15,8,11,True,"Up Arrow","Fleche haut","Keyboard/key label","budget 15"
0x43FE90,0x441290,16,15,11,12,True,"System Menu","Menu systeme","Mouse/target","budget 15"
0x43FEA0,0x4412A0,16,15,11,14,True,"Hide Window","Cacher fenetre","Mouse/target","budget 15"
0x43FEF8,0x4412F8,16,15,11,10,True,"Right Click","Clic droit","Mouse/binding","budget 15"
0x43FF18,0x441318,24,23,16,17,True,"Left+Right Click","Clic gauche+droit","Mouse/binding","budget 23"
0x43FF35,0x441335,11,10,7,5,True,"Disable","Arret","Mouse/target duplicate list","used by wheel/button action choices, budget 10"
0x43FF55,0x441355,19,18,11,14,True,"Hide Window","Cacher fenetre","Mouse/target duplicate list","used by wheel/button action choices, budget 18"
0x43FF8D,0x44138D,19,18,11,12,True,"System Menu","Menu systeme","Mouse/target duplicate list","used by wheel/button action choices, budget 18"
0x43FFC0,0x4413C0,24,23,18,14,True,"Mouse Wheel Button","Bouton molette","Mouse/binding","budget 23"
0x44003D,0x44143D,19,18,11,10,True,"Message Log","Historique","Mouse/target duplicate list","used by wheel/button action choices, budget 18"
0x440065,0x441465,19,18,11,9,True,"Rewind Once","Retour x1","Mouse/target","inside bracketed [380] label, prefix kept"
0x440078,0x441478,16,15,8,12,True,"Wheel up","Molette haut","Mouse/binding","LOOPERS uses lowercase up, budget 15"
0x4400E5,0x4414E5,19,18,12,9,True,"Forward Once","Avance x1","Mouse/target","inside bracketed [380] label, prefix kept"
0x4400F8,0x4414F8,16,15,10,11,True,"Wheel down","Molette bas","Mouse/binding","LOOPERS uses lowercase down, budget 15"
0x440178,0x441578,24,23,21,17,True,"Jump and switch pages","Saut/changer page","Mouse/target","LOOPERS uses lowercase switch/pages, budget 23"
0x440190,0x441590,24,23,21,20,True,"Return/Proceed Button","Bouton retour/avance","Mouse/target","budget 23"
0x4401F8,0x4415F8,16,15,8,6,True,"Gestures","Gestes","Mouse/Gestures","budget 15"
0x440238,0x441638,16,15,13,13,True,"Dialogue Only","Dialogue seul","Mouse/Gestures value","LOOPERS-specific value, budget 15"
0x4402A8,0x4416A8,24,23,12,14,True,"Snap pointer","Aimant curseur","Mouse/Snap","LOOPERS uses lowercase pointer, budget 23"
0x4402C0,0x4416C0,96,95,95,82,True,"Gestures: Moving the cursor while holding the left button works the same way as Touch controls.","Maintenir le bouton gauche et bouger le curseur agit comme les commandes tactiles.","Mouse tooltip","budget 95"
0x440570,0x441970,120,119,118,66,True,"Left+Right Click: Hold left button then right click to switch between languages (English/Simplified Chinese/Japanese).","Maintenez le bouton gauche puis clic droit pour changer de langue.","Mouse tooltip","budget 119"
0x440614,0x441A14,12,11,6,6,True,"Rewind","Retour","Touch label","budget 11"
0x440620,0x441A20,16,15,14,12,True,"Jump (Forward)","Saut (avant)","Touch label","budget 15"
0x4406A0,0x441AA0,16,15,15,14,True,"Jump (Backward)","Saut (arriere)","Touch label","budget 15"
0x4406B0,0x441AB0,80,79,75,73,True,"Drag in the message window to Skip.
Auto skip by swiping (stop by tapping).","Glisser dans la fenetre: saut.
Balayer: saut auto (toucher pour arreter).","Touch tooltip","budget 79"
0x4408E0,0x441CE0,80,79,79,77,True,"Drag in the message window to Rewind.
Auto rewind by swiping (stop by tapping).","Glisser dans la fenetre: retour.
Balayer: retour auto (toucher pour arreter).","Touch tooltip","budget 79"
0x440930,0x441D30,112,111,98,88,True,"Swipe outside the message window jumps to next choice/chapter, or the end of previously read text.","Balayer hors de la fenetre saute au choix/chapitre suivant ou a la fin du texte deja lu.","Touch tooltip","budget 111"
0x4410B4,0x4424B4,12,11,6,7,True,"Window","Fenetre","System/Window","budget 11"
0x441108,0x442508,16,15,11,11,True,"Full Screen","Plein ecran","System/FullScreen","budget 15"
0x441128,0x442528,12,11,11,10,True,"Screen Mode","Mode ecran","System/ScreenMode","budget 11"
0x441134,0x442534,8,7,4,4,True,"Auto","Auto","System/value","same word"
0x441180,0x442580,12,11,11,11,True,"Window Size","Taille fen.","System/WindowSize","budget 11"
0x441420,0x442820,280,279,277,227,True,"Changing the setting to ❝Auto❞ will open the window at a scale based on the Windows ❝Display❞ setting.
Changing ❝%%❞ will scale the display, with the default resolution being %d×%d pixels.
 (Scale cannot be increased beyond the maximum resolution of your display.)","Le mode ❝Auto❞ ouvre la fenetre selon le reglage Windows ❝Affichage❞.
Modifier ❝%%❞ redimensionne l'affichage, resolution par defaut : %d×%d pixels.
(Le zoom ne peut pas depasser la resolution maximale de l'ecran.)","System tab tooltip","budget 279, keep %%/%d×%d intact"
0x441538,0x442938,16,15,14,10,True,"Low resolution","Basse res.","System/Movie quality value","LOOPERS-specific option, budget 15"
0x441588,0x442988,16,15,13,13,True,"Movie Quality","Qualite video","System/Movie quality","LOOPERS-specific option, budget 15"
