raw_offset,rva,slot,budget,src_len,target_len,fits,src,target,context,note
0x499470,0x49A070,8,7,7,6,True,"Disable","ﺎﻟ","Basic/Rumble value","budget 7 (rumble intensity: None/Min/Mid/Max); Arabic-B logical='لا'"
0x49A4D0,0x49B0D0,8,7,5,6,True,"Text1","ﺺﻧ","Text1 tab","6B, budget 7; Arabic-B logical='نص'"
0x49A4D8,0x49B0D8,12,11,8,9,True,"Language","ﺔﻐﻟ","Text1/Language","6B, budget 11; Arabic-B logical='لغة'"
0x49A598,0x49B198,8,7,4,6,True,"Font","ﻂﺧ","Text1/Font","6B, budget 7; Arabic-B logical='خط'"
0x49A56C,0x49B16C,12,11,6,6,True,"Mincho","Mincho","Text1/Font value","japanese font family name, keep; unchanged in Arabic-B"
0x49A588,0x49B188,8,7,6,6,True,"Modern","Modern","Text1/Font value","7B, budget 7 tight!; unchanged in Arabic-B"
0x49A5D4,0x49B1D4,12,11,5,9,True,"Solid","ﺐﻠﺻ","Text1/Window Transp value","6B, budget 11; Arabic-B logical='صلب'"
0x49A5FC,0x49B1FC,12,11,5,6,True,"Clear","ﻒﺷ","Text1/Window Transp value","5B, budget 11; Arabic-B logical='شف'"
0x49A618,0x49B218,24,23,19,18,True,"Window Transparency","ﺔﻴﻓﺎﻔﺷ","Text1/Window Transp","12B, budget 23; Arabic-B logical='شفافية'"
0x49A630,0x49B230,16,15,12,12,True,"Only Choices","ﺭﺎﻴﺧ","Text1/Transp target","15B, budget 15 exact; Arabic-B logical='خيار'"
0x49A658,0x49B258,24,23,20,15,True,"Previously Read Text","ﺀﻭﺮﻘﻣ","Text1/Read target","budget 23; Arabic-B logical='مقروء'"
0x49A688,0x49B288,16,15,8,9,True,"Color of","ﻥﻮﻟ","Text1/Color label","7B, budget 15; Arabic-B logical='لون'"
0x49A6D0,0x49B2D0,8,7,5,6,True,"Green","ﺾﺧ","Text1/Color value","4B, budget 7; Arabic-B logical='خض'"
0x49A6D8,0x49B2D8,8,7,4,6,True,"Blue","ﺭﺯ","Text1/Color value","4B, budget 7; Arabic-B logical='زر'"
0x49A6F0,0x49B2F0,8,7,6,6,True,"Purple","ﻦﺑ","Text1/Color value","6B, budget 7; Arabic-B logical='بن'"
0x49A494,0x49B094,8,7,6,6,True,"Orange","ﺮﺑ","Text1/Color value","same word; Arabic-B logical='بر'"
0x49A4C0,0x49B0C0,8,7,6,6,True,"Yellow","ﻒﺻ","Text1/Color value","5B, budget 7; Arabic-B logical='صف'"
0x49A700,0x49B300,16,15,15,9,True,"Read Text Color","ﻥﻮﻟ","Text1/Read color","14B, budget 15; Arabic-B logical='لون'"
0x49AABC,0x49B6BC,12,11,5,6,True,"Text2","ﺺﻧ","Text2 tab","6B, budget 11; Arabic-B logical='نص'"
0x49AB30,0x49B730,16,15,10,12,True,"Text Speed","ﺔﻋﺮﺳ","Text2/Speed","13B, budget 15; Arabic-B logical='سرعة'"
0x49AAEC,0x49B6EC,8,7,4,6,True,"Slow","ﻂﺑ","Text2/Speed value","4B, budget 7; Arabic-B logical='بط'"
0x49AAF4,0x49B6F4,8,7,4,6,True,"Fast","ﺮﺳ","Text2/Speed value","6B, budget 7; Arabic-B logical='سر'"
0x49AB40,0x49B740,16,15,10,10,True,"0 sec/char","0 sec/char","Text2/Speed value","7B, budget 15; unchanged in Arabic-B"
0x49AB90,0x49B790,16,15,12,12,True,"0.1 sec/char","0.1 sec/char","Text2/Speed value","9B, budget 15; unchanged in Arabic-B"
0x49ABB0,0x49B7B0,24,23,23,18,True,"Wait Time Per Character","ﺭﺎﻈﺘﻧﺍ","Text2/Wait","budget 23; Arabic-B logical='انتظار'"
0x49ABC8,0x49B7C8,8,7,5,5,True,"0 sec","0 sec","Text2/Wait value","3B, budget 7; unchanged in Arabic-B"
0x49ABD8,0x49B7D8,8,7,5,5,True,"1 sec","1 sec","Text2/Wait value","3B, budget 7; unchanged in Arabic-B"
0x49ABE8,0x49B7E8,8,7,5,5,True,"2 sec","2 sec","Text2/Wait value","3B, budget 7; unchanged in Arabic-B"
0x49ABF8,0x49B7F8,8,7,5,5,True,"3 sec","3 sec","Text2/Wait value","3B, budget 7; unchanged in Arabic-B"
0x49AC08,0x49B808,16,15,14,12,True,"Base Wait Time","ﺔﻠﻬﻣ","Text2/Base","15B, budget 15 exact; Arabic-B logical='مهلة'"
0x49AC5C,0x49B85C,12,11,5,9,True,"Sound","ﺕﻮﺻ","Sound tab","3B, budget 11; Arabic-B logical='صوت'"
0x49AC68,0x49B868,16,15,13,9,True,"Master Volume","ﻡﺎﻋ","Sound/Master","budget 15; Arabic-B logical='عام'"
0x49AD08,0x49B908,16,15,13,12,True,"System Sounds","ﻡﺎﻈﻧ","Sound/System","budget 15; Arabic-B logical='نظام'"
0x49AD30,0x49B930,16,15,9,12,True,"	(Young)	","ﺮﻴﻐﺻ","Voice tab young label","Yuichi child voice. 9B, budget 15; Arabic-B logical='صغير'"
0x49ADF0,0x49B9F0,16,15,13,9,True,"While Pressed","ﻂﻐﺿ","Keyboard/mode","8B, budget 15; Arabic-B logical='ضغط'"
0x49AE00,0x49BA00,16,15,10,9,True,"Start/Stop","ﺀﺪﺑ","Keyboard/mode","budget 15; Arabic-B logical='بدء'"
0x49AE58,0x49BA58,16,15,8,8,True,"C (Skip)","C (Skip)","Keyboard/key label","10B, budget 15; unchanged in Arabic-B"
0x49AE68,0x49BA68,16,15,10,10,True,"Z (Rewind)","Z (Rewind)","Keyboard/key label","10B, budget 15; unchanged in Arabic-B"
0x49AEC0,0x49BAC0,16,15,11,6,True,"  Disable  ","ﺎﻟ","Keyboard/value","retain spaces, budget 15; Arabic-B logical='لا'"
0x49AED0,0x49BAD0,16,15,10,9,True,"Quick Save","ﻆﻔﺣ","Keyboard/key label","12B, budget 15; Arabic-B logical='حفظ'"
0x49AF20,0x49BB20,16,15,10,15,True,"Quick Load","ﻞﻴﻤﺤﺗ","Keyboard/key label","12B, budget 15; Arabic-B logical='تحميل'"
0x49AF80,0x49BB80,16,15,15,9,True,"Switch Language","ﺔﻐﻟ","Keyboard/key label","14B, budget 15; Arabic-B logical='لغة'"
0x49AFE0,0x49BBE0,16,15,8,9,True,"Up Arrow","ﻕﻮﻓ","Keyboard/key label","budget 15; Arabic-B logical='فوق'"
0x49B02C,0x49BC2C,12,11,5,9,True,"Mouse","ﻭﺎﻣ","Mouse tab","6B, budget 11; Arabic-B logical='ماو'"
0x49B080,0x49BC80,16,15,11,12,True,"System Menu","ﻡﺎﻈﻧ","Mouse/target","budget 15; Arabic-B logical='نظام'"
0x49B090,0x49BC90,16,15,11,15,True,"Hide Window","ﺀﺎﻔﺧﺍ","Mouse/target","budget 15 exact; Arabic-B logical='اخفاء'"
0x49B0E8,0x49BCE8,16,15,11,12,True,"Right Click","ﻦﻴﻤﻳ","Mouse/binding","10B, budget 15; Arabic-B logical='يمين'"
0x49B108,0x49BD08,24,23,16,19,True,"Left+Right Click","ﻢﻳ ﺭﺎﺴﻳ","Mouse/binding","18B, budget 23; Arabic-B logical='يسار يم'"
0x49B120,0x49BD20,24,23,18,12,True,"Mouse Wheel Button","ﺔﻠﺠﻋ","Mouse/binding","14B, budget 23; Arabic-B logical='عجلة'"
0x49B180,0x49BD80,16,15,11,12,True,"Rewind Once","ﻉﻮﺟﺭ","Mouse/target","13B, budget 15; Arabic-B logical='رجوع'"
0x49B190,0x49BD90,16,15,8,9,True,"Wheel Up","ﻕﻮﻓ","Mouse/binding","12B, budget 15; Arabic-B logical='فوق'"
0x49B1F0,0x49BDF0,16,15,12,12,True,"Forward Once","ﻡﺪﻘﺗ","Mouse/target","14B, budget 15; Arabic-B logical='تقدم'"
0x49B200,0x49BE00,16,15,10,9,True,"Wheel Down","ﺖﺤﺗ","Mouse/binding","11B, budget 15; Arabic-B logical='تحت'"
0x49B280,0x49BE80,24,23,21,15,True,"Jump and Switch Pages","ﺕﺎﺤﻔﺻ","Mouse/target","14B, budget 23; Arabic-B logical='صفحات'"
0x49B298,0x49BE98,24,23,21,18,True,"Return/Proceed Button","ﺔﻘﻓﺍﻮﻣ","Mouse/target","16B, budget 23; Arabic-B logical='موافقة'"
0x49B2F4,0x49BEF4,12,11,6,9,True,"Enable","ﻞﻌﻓ","Mouse/Gestures value","budget 11; Arabic-B logical='فعل'"
0x49B310,0x49BF10,16,15,8,9,True,"Gestures","ﺲﻤﻟ","Mouse/Gestures","6B, budget 15; Arabic-B logical='لمس'"
0x49B350,0x49BF50,24,23,18,12,True,"Dialog and Choices","ﺭﺍﻮﺣ","Mouse/Snap target","18B, budget 23; Arabic-B logical='حوار'"
0x49B3D8,0x49BFD8,24,23,12,12,True,"Snap Pointer","ﺮﺷﺆﻣ","Mouse/Snap","16B, budget 23; Arabic-B logical='مؤشر'"
0x49B748,0x49C348,16,15,10,12,True,"Game Ver. ","ﺔﺨﺴﻧ","System/info","12B, budget 15; Arabic-B logical='نسخة'"
0x49B76C,0x49C36C,12,11,6,9,True,"System","ﻢﻈﻧ","System tab","budget 11; Arabic-B logical='نظم'"
0x49B7B0,0x49C3B0,8,7,6,6,True,"Window","ﻒﻧ","System/Window","7B, budget 7 exact; Arabic-B logical='نف'"
0x49B7B8,0x49C3B8,16,15,11,9,True,"Full Screen","ﺀﻞﻣ","System/FullScreen","budget 15; Arabic-B logical='ملء'"
0x49B7E0,0x49C3E0,16,15,11,9,True,"Screen Mode","ﻊﺿﻭ","System/ScreenMode","budget 15; Arabic-B logical='وضع'"
0x49B820,0x49C420,8,7,4,6,True,"Auto","ﻝﺁ","System/value","same; Arabic-B logical='آل'"
0x49B870,0x49C470,16,15,11,9,True,"Window Size","ﻢﺠﺣ","System/WindowSize","budget 15 exact; Arabic-B logical='حجم'"
0x49A8D0,0x49B4D0,144,143,141,141,True,"Wait Time Per Character: In Auto Mode, this sets the wait time until the next message is displayed based on the number of characters in text.","Wait Time Per Character: In Auto Mode, this sets the wait time until the next message is displayed based on the number of characters in text.","Texte2 tooltip","budget 143; unchanged in Arabic-B"
0x49A960,0x49B560,96,95,85,85,True,"Base Wait Time: You can set a Base Wait Time to add to
❝Wait Time Per Character❞.","Base Wait Time: You can set a Base Wait Time to add to
❝Wait Time Per Character❞.","Texte2 tooltip","budget 95, keep stylized quotes; unchanged in Arabic-B"
0x4996F0,0x49A2F0,112,111,99,99,True,"Initial Cursor Position: Sets the initial position of the cursor when a Yes/No choice is available.","Initial Cursor Position: Sets the initial position of the cursor when a Yes/No choice is available.","Basic tooltip","budget 111; unchanged in Arabic-B"
0x499960,0x49A560,88,87,87,87,True,"Controller Rumble Function: Plug in a controller to use the controller Rumble function.","Controller Rumble Function: Plug in a controller to use the controller Rumble function.","Basic tooltip","budget 87; unchanged in Arabic-B"
0x49B3F0,0x49BFF0,96,95,95,95,True,"Gestures: Moving the cursor while holding the left button works the same way as Touch controls.","Gestures: Moving the cursor while holding the left button works the same way as Touch controls.","Mouse tooltip","budget 95; unchanged in Arabic-B"
0x49B6A0,0x49C2A0,120,119,118,118,True,"Left+Right Click: Hold left button then right click to switch between languages (English/Simplified Chinese/Japanese).","Left+Right Click: Hold left button then right click to switch between languages (English/Simplified Chinese/Japanese).","Mouse tooltip","budget 119; unchanged in Arabic-B"
0x499640,0x49A240,176,175,160,160,True,"Voice: If you select No Stops, sound will continue to play even if you advance the text during voice playback. (It stops if there is sound on the next message.)","Voice: If you select No Stops, sound will continue to play even if you advance the text during voice playback. (It stops if there is sound on the next message.)","Basic tooltip","budget 175; unchanged in Arabic-B"
0x487EB0,0x488AB0,32,31,30,17,True,"Do you wish to load this save?","؟ﻞﻴﻤﺤﺗ","Save/Load prompt","budget 31; Arabic-B logical='تحميل؟'"
0x4880C8,0x488CC8,48,47,40,23,True,"Are you sure you wish to overwrite data?","؟ﻝﺍﺪﺒﺘﺳﺍ","Save/Load prompt","budget 47; Arabic-B logical='استبدال؟'"
0x488080,0x488C80,24,23,20,11,True,"Do you wish to save?","؟ﻆﻔﺣ","Save prompt","budget 23, bonus; Arabic-B logical='حفظ؟'"
0x4882F0,0x488EF0,48,47,47,27,True,"Are you sure you wish to delete this save data?","؟ﻆﻔﺤﻟﺍ ﻑﺬﺣ","Save delete prompt","budget 47; Arabic-B logical='حذف الحفظ؟'"
0x488350,0x488F50,24,23,23,19,True,"This cannot be deleted.","ﻑﺬﺤﻳ ﺎﻟ","Save delete error","budget 23; Arabic-B logical='لا يحذف'"
0x488B2C,0x48972C,12,11,6,9,True,"Delete","ﻑﺬﺣ","Save menu button","budget 11; Arabic-B logical='حذف'"
0x488B54,0x489754,12,11,6,9,True,"Latest","ﺮﺧﺁ","Save menu button","budget 11; Arabic-B logical='آخر'"
0x488EE8,0x489AE8,16,15,13,9,True,"Text preview.","ﺽﺮﻋ","Text preview label","budget 15; Arabic-B logical='عرض'"
0x489008,0x489C08,48,47,42,47,True,"Settings such as text speed are reflected.","ﺺﻨﻟﺍ ﺕﺍﺩﺍﺪﻋﺇ ﻖﺒﻄﺗ","Text preview tooltip","budget 47; Arabic-B logical='تطبق إعدادات النص'"
0x487458,0x488058,8,7,7,3,True,"English","ﻉ","Language switcher","budget 7 hard cap (neighbor is 简体中文). Fill in your ISO language code.; Arabic-B logical='ع'"
0x4987E8,0x4993E8,8,7,3,6,True,"Off","ﺎﻟ","Read text color toggle","budget 7; Arabic-B logical='لا'"
0x499358,0x499F58,8,7,2,3,True,"On","ﻥ","Read text color toggle","budget 7; Arabic-B logical='ن'"
0x4883F8,0x488FF8,32,31,27,26,True,"Return to the title screen?","؟ﺔﻴﺴﻴﺋﺮﻠﻟ","Title return prompt","budget 31; Arabic-B logical='للرئيسية؟'"
0x4883A0,0x488FA0,24,23,19,17,True,"Return to the menu?","؟ﺔﻤﺋﺎﻗ","Menu return prompt","budget 23, bonus; Arabic-B logical='قائمة؟'"
0x495B30,0x496730,80,79,68,68,True,"$A1There is unsaved data.
$A1Are you sure you wish to quit the game?","$A1There is unsaved data.
$A1Are you sure you wish to quit the game?","Quit prompt (unsaved)","budget 79, keep $A1 tags; unchanged in Arabic-B"
0x487478,0x488078,4,3,3,3,True,"Yes","ﻥ","Global dialog button","budget 3, exact fit. Used by ALL Yes/No prompts; Arabic-B logical='ن'"
0x48748C,0x48808C,4,3,2,3,True,"No","ﻻ","Global dialog button","budget 3, exact fit. Used by ALL Yes/No prompts; Arabic-B logical='ﻻ'"
0x4882B8,0x488EB8,16,15,15,9,True,"Save completed.","ﻆﻔﺣ","Save confirmation","budget 15; Arabic-B logical='حفظ'"
0x495C58,0x496858,40,39,39,33,True,"Are you sure you wish to quit the game?","؟ﺝﻭﺮﺨﻟﺍ ﺪﻳﺮﺗ","Quit prompt (saved)","budget 39 — the short variant, used when no unsaved data; Arabic-B logical='تريد الخروج؟'"
0x49B880,0x49C480,288,287,277,277,True,"Changing the setting to ❝Auto❞ will open the window at a scale based on the Windows ❝Display❞ setting.
Changing ❝%%❞ will scale the display, with the default resolution being %d×%d pixels.
 (Scale cannot be increased beyond the maximum resolution of your display.)","Changing the setting to ❝Auto❞ will open the window at a scale based on the Windows ❝Display❞ setting.
Changing ❝%%❞ will scale the display, with the default resolution being %d×%d pixels.
 (Scale cannot be increased beyond the maximum resolution of your display.)","System tab tooltip","budget 287, keep %%/%d×%d intact; unchanged in Arabic-B"
